b9300044301;Муфта PP-R комбинированн разъемн Дн40х1 1/4" НР ПК Контур 011301040401;25;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;255,38;549,2;0105-01608;@;0
b0100016419;Фильтр сетчатый латунь Ду25 ВР/ВР БАЗ 036-0295;59;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;БАЗ;S;P2;301,09;452;0406-00264;0;0
b0100016420;Фильтр сетчатый латунь Ду32 ВР/ВР БАЗ;3;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;БАЗ;S;P2;390,37;595;0406-00265;0;0
b0100016485;Люк полимер  тип Л ЛПКЛМ серый/черный А15 m=25кг;18;Водоотведение;Люки и дождеприемники;_;S;D0;478,54;687;0203-00008;@;0
b0100016564;Винт-шуруп М10х80;50;Трубопроводы и соединительные части;Крепежные изделия;_;S;D0;4,2;7;0112-00193;&;0
b0100007851;Труба PEX-AL-PEX мп Дн20х2,0 Valtec V2020;563;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;S;D0;65,99;95;0103-00918;&;0
b0100007846;Бурт PP-R с фланцем Дн50 ПК Контур 011320050000;34;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;158;339,8;0105-01132;@;0
b0100007865;Переход сталь оц Дн108х57 ГОСТ 17378-2001 ПЗКТ;2;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;P2;80,31;134;0101-00577;0;0
b0100007876;Клапан 904 Ду32/40/50 для невентилируемых магис HL;1;Водоотведение;Трубы для внутреннего водоотведения и соед части;HL;Z;NL;712,17;799;0304-00275;&;0
b0100007914;Задвижка 30(31)ч6бр чугун Ду80 Ру16 ЛМЗ;10;Запорная арматура;Задвижки;ЛМЗ;S;D0;1 519,8;2 325;0302-00001;&;0
b0100008043;Крепёж для труб PP Ду40;48;Трубопроводы и соединительные части;Крепежные изделия;_;S;D0;6,07;9;0112-00647;@;0
b0100019655;Картридж  для х/в SL 10" ЭФ Г 63/250  10мкм;3;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;_;Z;D0;57,01;75;0406-00429;&;0
b0100019657;Картридж  для х/в SL 10" ЭФ Г 63/250  5мкм;2;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;_;Z;D0;57,01;75;0406-00433;&;0
b0100019691;Труба НПВХ Дн160х4,0 L=1,0м Хемкор;23;Водоотведение;Трубы для наружного водоотведения и соед части;Хемкор;S;D0;198,87;281;0202-00267;@;0
b0100019702;Арматура для унитаза  ниж/подвод 2/реж Alca Plast SA08SK 1/2;1;Сантехника;Унитазы;Alca Plast;Z;D0;913,5;1 212;0902-00574;&;0
b0100019735;Болт М16х50;0;Трубопроводы и соединительные части;Крепежные изделия;_;Z;D0;63,72;71;0112-00667;&;0
b0100019814;Кран шаровой сталь DZT Ду80 Ру16 фл Broen 6410316080;3;Запорная арматура;Краны;Broen;Q;NL;5 312,18;7 586;0301-00627;&;0
b0100019853;Поддон сталь Tappo квадрат 900х900мм КНР;6;Сантехника;Кабины душевые, поддоны;КНР;S;D0;951,91;1 771;0907-00010;@;0
b0100019881;Люк полимер  тип Л ЛПКЛ черный А15 m=32кг;12;Водоотведение;Люки и дождеприемники;_;S;D1;569,7;817;0203-00009;@;0
b0100019882;Люк полимер  тип Л ЛПКЛ зеленый А15 m=32кг;27;Водоотведение;Люки и дождеприемники;_;S;D0;569,7;893;0203-00011;&;0
b0100020225;Коллектор латунь регулирующий Ду1"х3/4" ВР на 4 выхода FAR FK3824 134;6;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;FAR;Z;NL;1 515,1;2 009;0111-01214;&;0
mt000000026;Ключ трубный рычажный Сибртех №0 литой  15757;2;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;Сибртех;S;P2;241,53;329;1201-00933;&;0
mt000000032;Набор клуппов Ду1/2"-1" SPARTA с плашкодержателем и трещеткой (6 предметов)  773335;3;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;SPARTA;S;D1;1 567,91;2 138;1201-00938;&;0
mt000000038;Трос для прочистки труб Ду6 Сибртех L=5м  92462;2;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;Сибртех;S;P2;182,35;248;1201-00944;0;0
b0100024592;Тройник PPSU Дн16 для PE-X Uponor 1008684;25;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Uponor;S;P2;104,58;209,51;0104-00059;0;0
b0100020344;Унитаз-компакт Виктория косой выпуск эконом Sanita;1;Сантехника;Унитазы;Sanita;S;D1;2 880,9;4 277;0902-00577;@;0
b0100020348;Клапан обратный латунь  Ду15 Ру16 ВР/ВР пружинный Danfoss 065B8224;1;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;Danfoss;Z;NL;338,13;510,18;;@;0
b0100020350;Клапан обратный латунь  Ду32 Ру16 ВР/ВР пружинный Danfoss 065B8227;1;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;Danfoss;Q;D0;865,68;1 305,31;;&;0
b0100020358;Элемент термостатическ   жид/нап clip clap Giacomini;3;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;Q;NL;478,51;634,26;0503-00087;&;0
b0100020508;Гильза    L=35мм;1;Приборы учета и КИП;Комплектующие для КИП;_;Z;D0;202,03;226;;&;0
b0100020507;Гофра верхнего слива  Киров А-10/2;5;Сантехника;Унитазы;Киров;Z;D0;21,1;30;0902-00580;&;0
b0100020660;Муфта PP-R комбинированн Дн32x1" НР ПК Контур 011211032300;90;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;87,1;187,3;0105-01176;@;0
b0100020900;Штуцер латунь Дн20х3/4" для PE-X ВР Uponor 1023011;23;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Uponor;S;P2;278,55;558;0104-00073;0;0
b0100020999;Переход сталь Ду32х3,2-25х3,2 ПЗКТ;0;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;P2;28;47;0101-01585;0;0
b0100021042;Соединение PP-R муфт разъемн Дн32 ПК Контур 011317032010;10;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;114,77;246,8;0105-01177;&;0
b0100021056;Набор для смесителя силикон Сантехник№2 прокладка Симтек;10;Изоляция и уплотнение;Уплотнительные материалы;Симтек;S;D1;10,92;18;1002-00095;&;0
b0100021210;Радиатор алюминий Alpha 350 4 секции 0,564кВт Ogint;7;Отопительное оборудование;Радиаторы;Ogint;S;P2;1 105,11;1 524,88;0502-00018;@;0
b0100021211;Радиатор алюминий Alpha 350 5 секций 0,705кВт Ogint;8;Отопительное оборудование;Радиаторы;Ogint;S;D0;1 381,38;1 906,36;0502-00019;@;0
b0100021212;Радиатор алюминий Alpha 350 6 секций 0,846кВт Ogint;2;Отопительное оборудование;Радиаторы;Ogint;S;D2;1 631,11;2 287,33;0502-00020;@;0
b0100021214;Радиатор алюминий Alpha 350 8 секций 1,128кВт Ogint;3;Отопительное оборудование;Радиаторы;Ogint;S;D0;2 173,96;3 050,28;0502-00022;@;0
b0100021216;Радиатор алюминий Alpha 350 10 секций 1,41кВт Ogint;11;Отопительное оборудование;Радиаторы;Ogint;S;D1;2 717,83;3 812,72;0502-00024;@;0
b0100021217;Радиатор алюминий Alpha 350 12 секций 1,692кВт Ogint;6;Отопительное оборудование;Радиаторы;Ogint;S;D0;3 260,68;4 575,16;0502-00025;@;0
b0100021540;Муфта ПНД компрессия Дн40 ТПК-АКВА 50010040;7;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;ТПК-АКВА;S;D0;55,6;82;;@;0
b0100021730;Выпуск  3 1/2"х40 АНИ M250;5;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;P2;161,18;242;0908-00139;0;0
b0100021733;Манжета прям  Дн110 АНИ W0210;7;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;D1;41,52;63;0908-00115;@;0
b0100021734;Манжета  Дн110 эксцентрическая АНИ W0410;8;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;D2;43,41;65;0908-00006;@;0
b0100021804;Труба PP-RGF арм стекловолокном белый Дн75х12,5 Ру25 80C L=4м ПК Контур 010220075000;136;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;506,67;1 089,6;0105-00797;@;0
b0100021805;Труба PP-RGF арм стекловолокном белый Дн90х15,0 Ру25 80C L=4м ПК Контур 010220090000;68;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;735,21;1 581,1;0105-00798;@;0
