b0100021052;Штуцер латунь Дн25х3/4" для PE-X нак/г Uponor 1023017;23;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Uponor;Z;NL;424,32;530;0104-00079;@;0;1
b0100021056;Набор для смесителя силикон Сантехник№2 прокладка Симтек;36;Изоляция и уплотнение;Уплотнительные материалы;Симтек;S;D0;11,12;18;1002-00095;&;0;0
b0100021121;Насос циркуляционный NXL 13-25P б/комплекта Wilo 4028816;1;Насосное оборудование;Насосы и насосные установки;Wilo;Z;NL;1 711,74;1 831,56;;&;0;8
b0100021126;Насос циркуляционный NXL 13-32P б/комплекта Wilo 4029116;1;Насосное оборудование;Насосы и насосные установки;Wilo;Z;NL;1 834;1 962,38;;&;0;8
b0100021173;Станция насосная FWJ 202 EM Wilo 2543629;3;Насосное оборудование;Насосы и насосные установки;Wilo;S;P2;9 621,22;18 483,57;0801-01013;F;0;0
b0100021182;Пресс-клещи F50 REMS  570745;1;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;REMS;Z;NL;10 538,69;11 276;1201-00730;&;0;8
b0100021185;Тройник медь Дн42х22х42 пайка   95130;2;Трубопроводы и соединительные части;Труба медная и соединительные части;_;Z;NL;643,61;689;0109-00329;&;0;6
b0100021210;Радиатор алюминий Alpha 350 4 секции 0,564кВт Ogint;23;Отопительное оборудование;Радиаторы;Ogint;S;D0;992,25;1 439;0502-00018;@;0;0
b0100021211;Радиатор алюминий Alpha 350 5 секций 0,705кВт Ogint;30;Отопительное оборудование;Радиаторы;Ogint;S;D0;1 240,31;1 798;0502-00019;@;0;0
b0100021213;Радиатор алюминий Alpha 350 7 секций 0,987кВт Ogint;24;Отопительное оборудование;Радиаторы;Ogint;S;P2;1 736,43;2 518;0502-00021;@;0;0
b0100021214;Радиатор алюминий Alpha 350 8 секций 1,128кВт Ogint;0;Отопительное оборудование;Радиаторы;Ogint;S;D2;1 984,49;2 878;0502-00022;@;0;0
b0100021215;Радиатор алюминий Alpha 350 9 секций 1,269кВт Ogint;5;Отопительное оборудование;Радиаторы;Ogint;S;D0;2 311,55;3 949,54;0502-00023;@;0;0
b0100021217;Радиатор алюминий Alpha 350 12 секций 1,692кВт Ogint;21;Отопительное оборудование;Радиаторы;Ogint;S;D0;2 976,74;4 316;0502-00025;@;0;0
b0100021265;Отвод сталь 09Г2С крутоизогнут оц Дн57х3,0 ГОСТ 17375-2001 ПЗКТ;3;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;Z;NL;95,4;102;0101-01590;&;0;8
b0100021274;Кронштейн для Panelli VC   h=420мм к полу Panelli;2;Отопительное оборудование;Радиаторы;Panelli;Z;NL;220;235;0502-00109;&;0;8
b0100021408;Сифон для умывальника 1 1/4"х40/50 выпуск с гофрой нерж/сетка АНИ G216;377;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;P2;80,61;123;0908-00003;@;0;0
b0100021540;Муфта ПНД компрессия Дн40 ТПК-АКВА 50010040;19;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;ТПК-АКВА;S;P2;64,53;94;;@;0;0
b0100021594;Поглотитель жира Grease Guzzler 2.0 в комплекте с картриджем S65;1;Водоотведение;Канализационные очистные сооружения;_;Z;NL;120 000,01;128 400;0205-00024;&;0;8
b0100021602;Воронка 62.1Н/1 Ду100 с электроподогревом HL;0;Водоотведение;Трапы, колодцы, воронки;HL;Z;D0;7 963,16;11 377;;&;0;6
b0100021603;Колба фильтра SL 10" 3P TP  1" AquaKit;7;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;AquaKit;S;P2;674;1 072;0406-00434;0;0;0
b0100021604;Колба фильтра SL 10" 3P TP  3/4" AquaKit;0;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;AquaKit;S;D2;674;1 072;0406-00436;0;0;0
b0100021657;Коллектор латунь терморегулирующий Ду1 1/4"х3/4" НР на 3 выхода FAR FK3911 1143403;2;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;FAR;Z;NL;1 950;2 087;;&;0;8
b0100021733;Манжета прям  Дн110 АНИ W0210;481;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;D0;43,93;65;0908-00115;@;0;0
b0100021734;Манжета  Дн110 эксцентрическая АНИ W0410;209;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;D0;45,15;67;0908-00006;@;0;0
b0100021736;Пробка для сифона 1 1/2" АНИ М300;105;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;D0;7,6;11;0908-00141;@;0;0
b0100021747;Сифон для умывальника/мойки 1 1/2"х50 бутылочный с гофрой пл/сетка АНИ C5010;1;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;Z;NL;45,37;49;0908-00048;&;0;6
b0100021804;Труба PP-RGF арм стекловолокном белый Дн75х12,5 Ру25 80C L=4м ПК Контур 010220075000;684;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;Pz;405,29;871,6;0105-00797;@;0;0
b0100021805;Труба PP-RGF арм стекловолокном белый Дн90х15,0 Ру25 80C L=4м ПК Контур 010220090000;100;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;Pz;588,18;1 264,9;0105-00798;@;0;0
b0100021806;Труба PP-RGF арм стекловолокном Дн110х18,3 Ру25 ПК Контур 010220110000;136;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;896,66;1 928,3;0105-01178;@;0;0
